iter	MultiClass
226	0.1948772697
227	0.1935514604
228	0.1930922706
229	0.1919000146
230	0.1908463607
231	0.1894271568
232	0.1887373798
233	0.1883154843
234	0.1873893677
235	0.1865032892
236	0.1851718765
237	0.1839621499
238	0.1830637496
239	0.1812533587
240	0.1799981417
241	0.1768945852
242	0.1755807663
243	0.1747815736
244	0.1736643267
245	0.1718279364
246	0.1713530552
247	0.1701869817
248	0.1691133439
249	0.1676734288
250	0.1668834305
251	0.1659028049
252	0.1641757693
253	0.1631421883
254	0.1623058496
255	0.1611727608
256	0.1608443551
257	0.1599684464
258	0.1588283849
259	0.1581382425
260	0.1572678392
261	0.1563961628
262	0.1551161342
263	0.152708234
264	0.1518411616
265	0.1508601246
266	0.1500747977
267	0.1491938734
268	0.1488963468
269	0.1470324766
270	0.1459710763
271	0.1457015672
272	0.1447328077
273	0.1423789738
274	0.141039719
275	0.1404502974
276	0.1396167468
277	0.1388961863
278	0.1378830212
279	0.1373895604
280	0.1366182759
281	0.1358382415
282	0.1355960859
283	0.1348673176
284	0.1338989297
285	0.1330196958
286	0.1324393139
287	0.1315227158
288	0.1300961927
289	0.1294493883
290	0.1285565758
291	0.1279786267
292	0.1272709119
293	0.1266726989
294	0.1254871173
295	0.1250715228
296	0.1247253799
297	0.1242006837
298	0.1235593827
299	0.1228968529
300	0.1216264925
301	0.120559794
302	0.1199277837
303	0.1188719604
304	0.1183522471
305	0.1175716363
306	0.1166086445
307	0.1161006935
308	0.1150552739
309	0.1144752108
310	0.1142078569
311	0.1132235734
312	0.1125264593
313	0.1114971464
314	0.1109225577
315	0.1106747353
316	0.1101331569
317	0.109663365
318	0.1089089574
319	0.1086882549
320	0.1085024461
321	0.1075070963
322	0.1066990725
323	0.1059349374
324	0.1052269014
325	0.1046767088
326	0.103925998
327	0.1033183473
328	0.1031378463
329	0.102447768
330	0.1019034825
331	0.1013813431
332	0.1011258813
333	0.1008242768
334	0.100324491
335	0.09963561121
336	0.09876834956
337	0.09832805942
338	0.09793550055
339	0.09745578229
340	0.09729117585
341	0.09681582943
342	0.09609931864
343	0.095699228
344	0.09522252924
345	0.09469572602
346	0.09419897364
347	0.09372154608
348	0.09334551896
349	0.09275273253
350	0.09220569611
351	0.09179586643
352	0.09151558197
353	0.09097187873
354	0.09016053624
355	0.08990884177
356	0.08945164574
357	0.08903797761
358	0.08845579578
359	0.08786029097
360	0.0875332367
361	0.08705552737
362	0.08588647048
363	0.08527576112
364	0.08495373256
365	0.08432586094
366	0.08397244168
367	0.08361189499
368	0.08311519116
369	0.08285068975
370	0.08249191403
371	0.0820843628
372	0.08167582732
373	0.08143999164
374	0.08119483728
375	0.08065643157
376	0.0802792015
377	0.07992870497
378	0.07929480925
379	0.0791726446
380	0.07877227758
381	0.07831108547
382	0.07788992011
383	0.0771703442
384	0.07680939222
385	0.07668727274
386	0.07606421605
387	0.07595199854
388	0.07562943975
389	0.07534959007
390	0.07493237976
391	0.07463977621
392	0.07422466249
393	0.07393332766
394	0.07362995104
395	0.07306296522
396	0.0727628089
397	0.07248927881
398	0.07223035087
399	0.07175063689
400	0.07148501444
401	0.07117045025
402	0.07072565235
403	0.07037287791
404	0.0699184315
405	0.0696913939
406	0.06924879622
407	0.06899608412
408	0.06870491199
409	0.06837275092
410	0.06820496264
411	0.06754730161
412	0.0670732999
413	0.06676890912
414	0.06640463649
415	0.06614782806
416	0.06575510332
417	0.06536996385
418	0.06507633145
419	0.06473606892
420	0.06448560572
421	0.06379190077
422	0.06352151253
423	0.06327000803
424	0.06293050817
425	0.06262723934
426	0.06242157254
427	0.06220352419
428	0.06211373004
429	0.06182720543
430	0.06167539543
431	0.06124730435
432	0.06088525275
433	0.06054540591
434	0.06027529688
435	0.05986616959
436	0.05951148921
437	0.05916439882
438	0.05887710297
439	0.05868619933
440	0.05837908178
441	0.05816845011
442	0.05789740067
443	0.05767098598
444	0.0573716688
445	0.0572913897
446	0.05688123411
447	0.05667386607
448	0.05629898437
449	0.05596170212
450	0.0556899301
451	0.0553111096
452	0.05512045401
453	0.05492063462
454	0.05460750109
455	0.0544046554
456	0.05418712901
457	0.05391766785
458	0.05367917973
459	0.0532245224
460	0.05292400458
461	0.05266474267
462	0.05256926752
463	0.05242083735
464	0.05214799902
465	0.05194458283
466	0.05175794015
467	0.05156920896
468	0.05136977085
469	0.05130125349
470	0.05101207354
471	0.05080780182
472	0.05059301155
473	0.05033131789
474	0.05006116219
475	0.04985392629
476	0.04966800905
477	0.04941278547
478	0.04893231663
479	0.04871570812
480	0.04861087033
481	0.04829490751
482	0.04816512175
483	0.04810212904
484	0.04793580687
485	0.04771603651
486	0.04749539799
487	0.04725786481
488	0.04696199993
489	0.04687870963
490	0.04665581669
491	0.04643575082
492	0.04638796856
493	0.04614944242
494	0.04592313721
495	0.04579993249
496	0.04556318096
497	0.04526066932
498	0.04503518141
499	0.04472421058
500	0.04453784197
501	0.04433501801
502	0.04396889568
503	0.04374127081
504	0.0435705694
505	0.04345469257
506	0.04327618855
507	0.04308830583
508	0.04296634551
509	0.04291553309
510	0.04280507715
511	0.04263639539
512	0.04247984639
513	0.04232337483
514	0.04226551274
515	0.04210312778
516	0.04190854232
517	0.04180926143
518	0.04146937487
519	0.04141984434
520	0.04123585426
521	0.04107765219
522	0.04087473077
523	0.04072066696
524	0.04041301423
525	0.04030927482
526	0.04010767841
527	0.0400126464
528	0.03987715773
529	0.03983654587
530	0.03969536476
531	0.03953585786
532	0.03937814623
533	0.03918493453
534	0.03903944393
535	0.038868007
536	0.03875031427
537	0.03856718702
538	0.03851727218
539	0.03843846238
540	0.0381679141
541	0.03802333909
542	0.03792344638
543	0.03784896814
544	0.03773257117
545	0.03758243126
546	0.03746554713
547	0.037364599
548	0.03725856095
549	0.03712899618
550	0.0370098729
551	0.0369685521
552	0.03680730983
553	0.03667614325
554	0.03654750797
555	0.03632143295
556	0.0361853601
557	0.03606088518
558	0.03592229295
559	0.03578790727
560	0.03567547598
561	0.03549212822
562	0.03535586216
563	0.03525315033
564	0.03507893376
565	0.03490531939
566	0.03486811427
567	0.03479064628
568	0.03469626011
569	0.03465953589
570	0.03449493095
571	0.03435572016
572	0.03423274016
573	0.03419725498
574	0.03407322002
575	0.03394348384
576	0.03375211833
577	0.03353171288
578	0.03338304454
579	0.03332413294
580	0.03314296025
581	0.03300867715
582	0.03293542253
583	0.03283878362
584	0.03272239226
585	0.03257985995
586	0.03254653
587	0.03241499243
588	0.03233243131
589	0.03213823593
590	0.03205916909
591	0.03202870669
592	0.03196554449
593	0.0318447416
594	0.03175886434
595	0.03159742835
596	0.03146250498
597	0.03136576516
598	0.03125358656
599	0.03117876697
600	0.03098528783
601	0.03094234488
602	0.03081041703
603	0.03067377255
604	0.03056993224
605	0.03048233206
606	0.03034412626
607	0.03025852308
608	0.03009277031
609	0.03002504384
610	0.02998438446
611	0.02988458973
612	0.02976950389
613	0.02966944336
614	0.02957228321
615	0.02950260616
616	0.02938241037
617	0.02930772743
618	0.02923457714
619	0.02915983734
620	0.02902103429
621	0.02893747095
622	0.02884939535
623	0.02882567837
624	0.02873228016
625	0.02860658554
626	0.02850075088
627	0.02840563727
628	0.02836098023
629	0.02833424889
630	0.02820970689
631	0.02812385629
632	0.02805545631
633	0.02797899541
634	0.02789719561
635	0.02780351242
636	0.02776068103
637	0.02769782302
638	0.02762123721
639	0.0275120268
640	0.02741573044
641	0.02730120136
642	0.02722342623
643	0.02719799425
644	0.02706934794
645	0.02702048063
646	0.026979411
647	0.02686953582
648	0.02678448158
649	0.02670895712
650	0.0266600366
651	0.02663098087
652	0.02653622076
653	0.02639869305
654	0.02635804969
655	0.02627379393
656	0.02621931313
657	0.02609980668
658	0.0260314473
659	0.02589932373
660	0.02578499196
661	0.02570946344
662	0.02564842646
663	0.02562009215
664	0.02550455112
665	0.0254472594
666	0.0254253627
667	0.02533917485
668	0.02527109623
669	0.02521461409
670	0.02513285123
671	0.02503538539
672	0.02495493015
673	0.02488964751
674	0.02484926189
675	0.02482418777
676	0.02472615094
677	0.02462131668
678	0.02454413139
679	0.02447069028
680	0.02443561986
681	0.0243300776
682	0.02426861094
683	0.02417343893
684	0.0241461989
685	0.02406881885
686	0.02402666728
687	0.02385857374
688	0.02378124368
689	0.02376194509
690	0.023724467
691	0.02360228993
692	0.02352920041
693	0.02343261661
694	0.02337221105
695	0.02329422463
696	0.02323173238
697	0.02317516028
698	0.02309975063
699	0.02306913325
700	0.02300984504
701	0.02291778577
702	0.02287111746
703	0.02277691023
704	0.02269148348
705	0.02262729936
706	0.02259905417
707	0.02255797743
708	0.02252374492
709	0.02244541038
710	0.02235655226
711	0.02226436804
712	0.02218989761
713	0.02207089895
714	0.02202893358
715	0.02196069275
716	0.02190252666
717	0.02184022381
718	0.02178016851
719	0.02170586273
720	0.02165136623
721	0.02161268508
722	0.02153401545
723	0.02147724954
724	0.02145020787
725	0.02139185043
726	0.02137542875
727	0.02133416548
728	0.02131252843
729	0.0212514942
730	0.02119336248
731	0.02109626138
732	0.02102953134
733	0.02097162704
734	0.02091154579
735	0.02089630448
736	0.02087472006
737	0.02081454395
738	0.02073987746
739	0.02064136692
740	0.02059005557
741	0.02050600335
742	0.02044405824
743	0.02040780523
744	0.0203592365
745	0.02029298057
746	0.02022897908
747	0.02018583394
748	0.02012794783
749	0.02007244391
750	0.02001724809
751	0.01997031342
752	0.01988934392
753	0.01980561713
754	0.01976859942
755	0.01972841616
756	0.01968380323
757	0.01961382437
758	0.01955917778
759	0.01949500956
760	0.01942947845
761	0.01938456607
762	0.01931470636
763	0.01925578645
764	0.01924159501
765	0.01918986098
766	0.01911143947
767	0.01908281783
768	0.0190396067
769	0.01901852875
770	0.01892436894
771	0.01890610873
772	0.0188659839
773	0.01881546063
774	0.01878578922
775	0.01873960287
776	0.01872250412
777	0.01868571363
778	0.01862790139
779	0.01860406828
780	0.01855912403
781	0.01851392354
782	0.01848697459
783	0.01843731004
784	0.0184101667
785	0.01836367561
786	0.01835083047
787	0.01830663746
788	0.01824318399
789	0.01818330464
790	0.01812427122
791	0.01808358971
792	0.01804012727
793	0.01800744719
794	0.01793893764
795	0.01790831807
796	0.01785492495
797	0.01782224953
798	0.01778340541
799	0.01771397119
800	0.01770205862
801	0.0176868561
802	0.01765019859
803	0.01761093558
804	0.01753051987
805	0.01750519341
806	0.01744547266
807	0.01739545124
808	0.0173325207
809	0.01728428847
810	0.01724394246
811	0.01716828884
812	0.01711280385
813	0.01709113952
814	0.01704663468
815	0.01702046533
816	0.01698578304
817	0.01697023071
818	0.01695112969
819	0.01694077594
820	0.01690140516
821	0.01685596472
822	0.01680833002
823	0.01677164418
824	0.01671454713
825	0.01666071111
826	0.01661544939
827	0.01655953222
828	0.01650412932
829	0.01646107736
830	0.01643946653
831	0.01639712641
832	0.01638698071
833	0.01635610595
834	0.01630880118
835	0.01625584237
836	0.01621188795
837	0.01614988779
838	0.01611128627
839	0.01607877186
840	0.01604810618
841	0.01602266309
842	0.01599253971
843	0.01597092744
844	0.01594095076
845	0.01589524994
846	0.01584365358
847	0.01578882686
848	0.01576017897
849	0.01573070132
850	0.01568144174
851	0.01564451045
852	0.01560269794
853	0.01556221022
854	0.01552291123
855	0.01549827133
856	0.01545386392
857	0.01541962842
858	0.01538495355
859	0.01534858086
860	0.01528469567
861	0.01526744847
862	0.01523625747
863	0.01517942755
864	0.01515126619
865	0.01513585944
866	0.01510455732
867	0.0150830541
868	0.01507372172
869	0.01503567387
870	0.0150136577
871	0.01499658762
872	0.014985851
873	0.01493402354
874	0.01490803661
875	0.01489942469
876	0.01483190075
877	0.01477166554
878	0.01474772302
879	0.01472067895
880	0.01468328495
881	0.01465224739
882	0.01461156523
883	0.01455085936
884	0.01451774681
885	0.01448646179
886	0.01445305753
887	0.01444035021
888	0.01439747022
889	0.01437429319
890	0.01434338054
891	0.01433242373
892	0.01427155829
893	0.01424355872
894	0.01422105095
895	0.01419120658
896	0.01415557265
897	0.01413328814
898	0.0141108784
899	0.01408815848
900	0.01405547304
901	0.01401544433
902	0.01399563577
903	0.01397139725
904	0.01393195207
905	0.01390198249
906	0.01385648139
907	0.01384830082
908	0.01380756801
909	0.01376961292
910	0.01371008562
911	0.01367226529
912	0.01365408095
913	0.01362767359
914	0.01360358496
915	0.01356334809
916	0.01353125281
917	0.01349052066
918	0.01348092195
919	0.01347245692
920	0.01346151171
921	0.01343039353
922	0.01339857348
923	0.0133718672
924	0.01332037554
925	0.01328947673
926	0.01328198895
927	0.01325342078
928	0.01322788752
929	0.01319544753
930	0.01313984528
931	0.01311444319
932	0.01308641018
933	0.01306130064
934	0.01304439802
935	0.01300771088
936	0.01298582652
937	0.01294748962
938	0.01291497377
939	0.01290539265
940	0.01288617159
941	0.01286505789
942	0.01282965603
943	0.01280437299
944	0.0127890284
945	0.01274930364
946	0.01272752924
947	0.01269805446
948	0.01268971595
949	0.0126634697
950	0.01264163978
951	0.01262275494
952	0.01260317331
953	0.01257370904
954	0.0125425699
955	0.01251695818
956	0.0125081706
957	0.01248105334
958	0.01245605493
959	0.01242056325
960	0.01241400443
961	0.01238274133
962	0.01234713387
963	0.01232057692
964	0.01230305025
965	0.01229077933
966	0.01226827101
967	0.01224272338
968	0.01221960986
969	0.0122003226
970	0.01217661298
971	0.01215932928
972	0.01211392637
973	0.01209055294
974	0.01207098368
975	0.01206428047
976	0.01205709561
977	0.01204124004
978	0.0120229963
979	0.01197966844
980	0.01195539316
981	0.01192451834
982	0.01190259462
983	0.01189616486
984	0.01186191808
985	0.0118366767
986	0.01181045492
987	0.0118043135
988	0.01177719708
989	0.0117241199
990	0.0117158081
991	0.0116843957
992	0.01165239831
993	0.011631525
994	0.01161785448
995	0.0115884464
996	0.01156832554
997	0.0115554329
998	0.01152322309
999	0.01150395105
